"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",8.38990599360693,1.22851418379752,6.82931145953276,2.45770857781826e-07
"blockchains",-0.868625502254359,0.37605938903822,-2.30980937472639,0.0287806366733517
"fraud",-1.60847057425351,0.561041028853086,-2.86693929950478,0.00794073832028996
"risk",5.45406655505252,0.808582849580067,6.74521671821887,3.04731937486415e-07
"security",-1.69109640988645,0.815136139306295,-2.07461837150985,0.0476799349628501
