"","Df","Pillai","approx F","num Df","den Df","Pr(>F)"
"artificial",1,0.0699390332533651,1.05277664643016,2,28,0.362376355630285
"intelligence",1,0.020974296742389,0.299930996108056,2,28,0.743219874024499
"Residuals",29,NA,NA,NA,NA,NA
