"","Df","Pillai","approx F","num Df","den Df","Pr(>F)"
"big",1,0.0403273632613561,0.567296996065727,2,27,0.573669830138176
"data",1,0.0922957294635292,1.37268534279478,2,27,0.270550980696552
"application",1,0.0106380106633941,0.145157329171415,2,27,0.865556623123169
"Residuals",28,NA,NA,NA,NA,NA
